high_GPA,math_SAT,verb_SAT,comp_GPA,univ_GPA
2.79,643.0,589.0,3.76,3.52
2.78,558.0,512.0,2.87,2.91
2.52,1000.0,503.0,2.54,2.4
3.67,685.0,602.0,3.83,3.47
3.24,592.0,538.0,3.29,3.47
2.1,562.0,486.0,2.64,2.37
1000.0,573.0,548.0,2.86,2.4
2.36,559.0,536.0,1000.0,2.24
2.42,552.0,583.0,2.81,3.02
3.51,617.0,591.0,3.41,3.32
3.48,684.0,649.0,3.61,1000.0
2.14,568.0,1000.0,2.48,2.54
2.59,604.0,582.0,3.21,3.19
3.46,619.0,624.0,3.52,3.71
3.51,642.0,619.0,3.41,3.58
3.68,683.0,642.0,3.52,3.4
3.91,703.0,684.0,3.84,3.73
3.72,712.0,652.0,3.64,3.49
2.15,564.0,501.0,2.14,2.25
2.48,557.0,1000.0,2.21,2.37
3.09,591.0,584.0,3.17,1000.0
2.71,599.0,562.0,3.01,3.19
2.46,607.0,619.0,3.17,3.28
3.32,619.0,558.0,3.01,3.37
3.61,700.0,721.0,1000.0,3.61
3.82,718.0,732.0,3.78,3.81
1000.0,580.0,538.0,2.51,2.4
2.19,562.0,507.0,2.1,2.21
3.34,1000.0,648.0,3.21,3.58
3.48,717.0,724.0,3.68,3.51
3.56,701.0,714.0,3.48,3.62
3.81,691.0,684.0,3.71,3.6
3.92,714.0,706.0,3.81,3.65
4.0,689.0,673.0,3.84,3.76
2.52,554.0,507.0,2.09,2.27
2.71,564.0,543.0,2.17,2.35
3.15,668.0,604.0,2.98,3.17
3.22,691.0,662.0,3.28,3.47
2.29,573.0,591.0,2.74,3.0
2.03,568.0,517.0,2.19,2.74
3.14,607.0,624.0,3.28,3.37
3.52,651.0,683.0,3.68,3.54
2.91,604.0,583.0,3.17,3.28
2.83,560.0,542.0,3.17,3.39
2.65,604.0,617.0,3.31,3.28
2.41,574.0,548.0,3.07,3.19
2.54,564.0,500.0,2.38,2.52
2.66,607.0,528.0,2.94,3.08
3.21,619.0,573.0,2.84,3.01
3.34,647.0,608.0,3.17,3.42
3.68,651.0,683.0,3.72,3.6
2.84,571.0,543.0,2.17,2.4
2.74,583.0,510.0,2.42,2.83
2.71,554.0,538.0,2.49,2.38
2.24,568.0,519.0,3.38,3.21
2.48,574.0,602.0,2.07,2.24
3.14,605.0,619.0,3.22,3.4
2.83,591.0,584.0,2.71,3.07
1000.0,642.0,1000.0,3.31,3.52
2.89,608.0,573.0,3.28,3.47
2.67,574.0,538.0,3.19,3.08
3.24,643.0,607.0,3.24,3.38
3.29,608.0,649.0,3.53,3.41
3.87,709.0,688.0,3.72,3.64
3.94,1000.0,645.0,3.98,3.71
3.42,667.0,583.0,3.09,3.01
3.52,656.0,609.0,3.42,3.37
2.24,554.0,542.0,2.07,2.34
3.29,692.0,563.0,3.17,3.29
3.41,684.0,672.0,1000.0,3.4
3.56,717.0,649.0,3.49,3.38
3.61,712.0,708.0,3.51,3.28
3.28,641.0,608.0,3.4,3.31
3.21,675.0,632.0,3.38,3.42
3.48,692.0,698.0,3.54,3.39
3.62,684.0,609.0,3.48,3.51
2.92,564.0,591.0,3.09,3.17
2.81,554.0,509.0,3.14,1000.0
3.11,685.0,694.0,3.28,3.41
3.28,671.0,609.0,3.41,3.29
2.7,571.0,503.0,3.02,3.17
2.62,582.0,591.0,2.97,3.12
3.72,621.0,589.0,4.0,3.71
3.42,651.0,642.0,3.34,3.5
3.51,673.0,681.0,3.28,3.34
3.28,651.0,640.0,3.32,3.48
3.42,672.0,607.0,3.51,3.44
3.9,591.0,587.0,3.68,3.59
3.12,582.0,612.0,3.07,3.28
2.83,609.0,555.0,2.78,3.0
2.09,554.0,480.0,3.68,3.42
3.17,612.0,590.0,3.3,3.41
3.28,628.0,580.0,3.34,3.49
3.02,567.0,602.0,3.17,3.28
3.42,619.0,623.0,3.07,3.17
3.06,1000.0,1000.0,3.19,3.24
1000.0,564.0,549.0,2.15,2.34
3.19,650.0,684.0,3.11,3.28
2.23,551.0,554.0,2.17,2.29
2.48,568.0,541.0,1000.0,2.08
3.76,605.0,590.0,3.74,3.64
3.49,692.0,683.0,3.27,3.42
3.07,680.0,692.0,3.19,3.25
2.19,617.0,503.0,2.98,2.76
3.46,516.0,528.0,1000.0,1000.0
